,maker,model,model_detail,year
37,현대,i30,i30 (PD),2020
38,현대,i30,i30 (PD),2019
39,현대,i30,i30 (PD),2018
40,현대,i30,i30 (PD),2017
41,현대,i30,i30 (PD),2016
43,현대,i30,더 뉴 i30,2016
44,현대,i30,더 뉴 i30,2015
46,현대,i30,i30(신형),2015
47,현대,i30,i30(신형),2014
48,현대,i30,i30(신형),2013
49,현대,i30,i30(신형),2012
50,현대,i30,i30(신형),2011
52,현대,i30,i30 cw,2011
53,현대,i30,i30 cw,2010
54,현대,i30,i30 cw,2009
55,현대,i30,i30 cw,2008
57,현대,i30,i30,2011
58,현대,i30,i30,2010
59,현대,i30,i30,2009
60,현대,i30,i30,2008
61,현대,i30,i30,2007
93,현대,i40,더 뉴 i40,2019
94,현대,i40,더 뉴 i40,2018
95,현대,i40,더 뉴 i40,2017
96,현대,i40,더 뉴 i40,2016
97,현대,i40,더 뉴 i40,2015
99,현대,i40,더 뉴 i40 살룬,2019
100,현대,i40,더 뉴 i40 살룬,2018
101,현대,i40,더 뉴 i40 살룬,2017
102,현대,i40,더 뉴 i40 살룬,2016
103,현대,i40,더 뉴 i40 살룬,2015
105,현대,i40,i40 살룬,2015
106,현대,i40,i40 살룬,2014
107,현대,i40,i40 살룬,2013
108,현대,i40,i40 살룬,2012
110,현대,i40,i40,2015
111,현대,i40,i40,2014
112,현대,i40,i40,2013
113,현대,i40,i40,2012
114,현대,i40,i40,2011
146,현대,갤로퍼,갤로퍼 2,2003
147,현대,갤로퍼,갤로퍼 2,2002
148,현대,갤로퍼,갤로퍼 2,2001
149,현대,갤로퍼,갤로퍼 2,2000
150,현대,갤로퍼,갤로퍼 2,1999
151,현대,갤로퍼,갤로퍼 2,1998
152,현대,갤로퍼,갤로퍼 2,1997
154,현대,갤로퍼,갤로퍼,1998
155,현대,갤로퍼,갤로퍼,1997
156,현대,갤로퍼,갤로퍼,1996
157,현대,갤로퍼,갤로퍼,1995
158,현대,갤로퍼,갤로퍼,1994
190,현대,그랜저,더 뉴 그랜저 IG,2022
191,현대,그랜저,더 뉴 그랜저 IG,2021
192,현대,그랜저,더 뉴 그랜저 IG,2020
193,현대,그랜저,더 뉴 그랜저 IG,2019
195,현대,그랜저,더 뉴 그랜저 IG 하이브리드,2022
196,현대,그랜저,더 뉴 그랜저 IG 하이브리드,2021
197,현대,그랜저,더 뉴 그랜저 IG 하이브리드,2020
198,현대,그랜저,더 뉴 그랜저 IG 하이브리드,2019
200,현대,그랜저,그랜저 IG 하이브리드,2019
201,현대,그랜저,그랜저 IG 하이브리드,2018
202,현대,그랜저,그랜저 IG 하이브리드,2017
204,현대,그랜저,그랜저 IG,2019
205,현대,그랜저,그랜저 IG,2018
206,현대,그랜저,그랜저 IG,2017
207,현대,그랜저,그랜저 IG,2016
